company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes
C2FO,20,2,12/9/22,Finance,Kansas,Kansas City Business Journal,Private,
Amperity,13,3,8/20/22,Software,Washington ,Geekwire,Private,
Addepar,20,3,1/18/23,Finance,California,Fortune,Private,
Thirty Madison,24,3,5/13/22,Health Care,New York,Axios,Private,"Per Axios, 22 of the employees laid off were from Thirty Madison, and two were from new parent company Nurx. Layoffs affected around 3% of employees."
Armis Security,25,4,12/8/22,Software,California,Calcalistech,Private,
Foxtrot,26,4,9/23/22,Foodtech,Chicago,Chicago Business,Private,
Headspace Health,50,4,12/14/22,Health Care,California,Bloomberg,Private,
RealSelf,11,5,7/21/22,Entertainment,Washington ,GeekWire,Private,
New Relic,110,5,8/18/22,Software,California,MarketWatch,Private,
Abra,12,5,6/30/22,Finance,California,The Block,Private,
Clarify Health,15,5,7/22/22,Health Care,California,Axios,Private,
Argo AI,150,5,7/7/22,Transportation,Pennsylvania,TechCrunch,Private,
Snyk,220,5,10/24/22,Software,Massachusetts,Globes,Private,
JOKR,50,5,6/16/22,Foodtech,New York,TechCrunch,Private,
Project44,63,5,7/15/22,Other,Chicago,FreightWaves,Private,
Reef,750,5,5/6/22,Foodtech,Florida,The Information,Private,
CoinDCX,100,6,1/11/23,Finance,Overseas,Biometric Update,Private,
Food52,20,6,4/8/22,E-Commerce,New York,Digiday,Private,
Motive,237,6,12/7/22,Software,California,Motive,Private,
Canoo,58,6,7/1/22,Transportation,California,Business Insider,Private,
Wonder,130,7,11/30/22,Foodtech,New York,The Information,Private,
Argyle,20,7,8/26/22,Insurance,New York,TechCrunch,Private,
Kabam,35,7,11/9/22,Entertainment,California,TechCrunch,Private,
Upstart,60,7,11/1/22,Finance,California,TechCrunch,Private,
Gemini,68,7,7/18/22,Finance,New York,TechCrunch,Private,
Faire,84,7,11/3/22,E-Commerce,California,The Information,Private,
Convoy,90,7,6/9/22,Other,Washington ,GeekWire,Private,
Innovaccer,120,8,9/1/22,Health Care,California,Inc42,Private,
StockX,120,8,6/28/22,E-commerce,Michigan,The Information,Private,
Albert,20,8,6/10/22,Finance,California,dot.LA,Private,
Personetics,30,8,1/5/23,Finance,New York,Calcalistech,Private,
Bright Machines,30,8,6/28/22,Other,California,CTech,Private,
Stash Financial,32,8,12/6/22,Finance,New York,Stash,Private,
Dutchie,56,8,6/6/22,Foodtech,Oregon,GeekWire,Private,
Stord,59,8,6/3/22,Other,Georgia,Business Insider,Private,
Niantic,85,8,6/29/22,Entertainment,California,Bloomberg,Private,
Picsart,90,8,5/17/22,Entertainment,Florida,The Information,Private,
Remote,100,9,7/6/22,Other,California,Publico,Private,
Vox Media,169,9,1/20/23,Entertainment,DC,CNN,Private,
Yotpo,70,9,11/16/22,Entertainment,New York,Calcalistech,Private,
Aura,70,9,6/24/22,Software,Massachusetts,Bank Info Security,Private,
Komodo Health,78,9,12/13/22,Health Care,California,TechCrunch,Private,
Khoros,120,10,10/21/22,Software,Texas,Austin Business News,Private,
Bonterra,140,10,1/13/23,Entertainment,Overseas,The Nonprofit Times,Private,
Chargebee,142,10,11/2/22,Finance,California,TechCrunch,Private,
6sense,150,10,10/12/22,AI,California,MoneyControl,Private,
Relativity,150,10,12/7/22,Data Science,Chicago,Crain's Chicago,Private,
TIFIN,21,10,6/14/22,Finance,Colorado,Axios,Private,
Lusha,30,10,7/18/22,Real Estate ,New York,CTech,Private,
Aqua Security,65,10,12/5/22,Other,Massachusetts,Calcalistech,Private,
Spin,78,10,9/30/22,Transportation,California,TechCrunch,Private,
Verbit,80,10,7/5/22,Other,New York,CTech,Private,
Carta,200,10,1/11/23,Finance,California,TechCrunch,Private,
ConsenSys,100,11,1/10/23,Finance,New York,CoinDesk,Private,
Tipalti,123,11,1/11/23,Finance,California,Calcalistech,Private,
Brex,136,11,10/11/22,Finance,California,TechCrunch,Private,
Salsify,90,11,11/16/22,Software,Massachusetts,Boston Business Journal,Private,
Klarna,750,12,9/22/22,Finance,Overseas,Sifted,Private,
JumpCloud,100,12,1/18/23,Software,Colorado,JumpCloud,Private,
Chime,156,12,11/2/22,Finance,California,The Information,Private,
Embroker,30,12,10/25/22,Insurance,California,The Insurer,Private,
Divvy Homes,40,12,9/27/22,Real Estate ,California,The Information,Private,
Ethos Life,40,12,6/24/22,Insurance,California,Coverager,Private,
GoFundMe,94,12,10/26/22,Other,California,GoFundMe,Private,
Digital Currency Group,10,13,11/2/22,Finance,Connecticut,Coindesk,Private,
Intercom,124,13,11/14/22,Software,California,Silicon Republic,Private,
SundaySky,24,13,7/11/22,Software,New York,Globes,Private,"Layoffs affect employees in the U.S., Israel, and Japan. Layoffs affected around 13% of employees."
Chipper Cash,50,13,12/6/22,Finance,California,TechCrunch,Private,
Udacity,55,13,10/11/22,Education,California,Udacity,Private,
Sourcepoint,7,13,6/2/22,Software,New York,Crunchbase News reporting,Private,Company did not respond to a request to confirm details of layoffs. Layoffs affected around 13% of employees.
Sendoso,100,14,6/6/22,Entertainment,California,Business Insider,Private,
Malwarebytes,125,14,8/17/22,Software,California,TechCrunch,Private,
Substack,13,14,6/29/22,Entertainment,California,New York Times,Private,
Nayya,16,15,6/17/22,Software,New York,Crunchbase News reporting,Private,
Verily,250,15,1/11/23,Health Care,California,The Information,Private,
CyCognito,30,15,12/8/22,Software,California,Calcalistech,Private,
Zumper,45,15,6/16/22,Real Estate ,California,The Real Deal,Private,
Polly,47,15,12/2/22,Insurance,Vermont,VT Digger,Private,
Woven,5,15,8/16/22,AI,Indianapolis,AdAge,Private,
The Mom Project,54,15,7/20/22,Other,Chicago,LinkedIn,Private,
Stream,20,15,6/30/22,Software,Colorado,Pragmatic Engineer,Private,
Carbon Health,450,16,1/6/23,Health Care,California,Carbon Health CEO Eren Bali,Private,
Jam City,200,17,8/4/22,Entertainment,California,VentureBeat,Private,
Next Insurance,150,17,7/7/22,Insurance,California,CTech,Private,
OwnBackup,170,17,11/15/22,Software,New Jersey,Calcalistech,Private,
Everlane,30,17,1/5/23,E-Commerce,California,The Information,Private,
Patreon,80,17,9/13/22,Entertainment,California,The Information,Private,
Recharge,84,17,10/27/22,Finance,California,Recharge CEO,Private,
Lithic,27,18,12/7/22,Finance,New York,Axios,Private,
SQream Technologies,30,18,7/6/22,Data Science,New York,CTech,Private,
Emotive,30,18,7/7/22,Other,California,dot.LA,Private,
Socure,104,19,1/5/23,Software,Nevada,Biometric Update,Private,
Postscript,43,19,6/26/22,Entertainment,California,Alex Beller,Private,
Qumolo,80,19,6/29/22,Data Science,Washington ,GeekWire,Private,
Homeward,120,20,8/11/22,Real Estate ,Texas,The Real Deal,Private,
Turntide,130,20,7/28/22,Transportation,California,Business Insider,Private,
Flyhomes,150,20,7/20/22,Real Estate ,Washington ,GeekWire,Private,
Curology,150,20,3/16/22,E-commerce,California,SF Business Times,Private,
MasterClass,156,20,6/22/22,Education,California,MasterClass CEO David Rogier,Private,
Lacework,200,20,5/26/22,Software,California,The Information,Private,
Equitybee,25,20,10/31/22,Finance,California,Calcalistech,Private,
Airtable,254,20,12/8/22,Data Science,California,Airtable,Private,
Plaid,260,20,12/7/22,Finance,California,TechCrunch,Private,
Nate,30,20,8/30/22,E-commerce,New York,The Information,Private,"Nate reportedly had two layoffs. In June, the company laid of 30 people, or 20% of the company at the time."
Coterie Insurance,30,20,5/27/22,Insurance,Ohio,CincyInno,Private,
Intrinsic,40,20,1/11/23,AI,California,This Information,Private,
Rhino,57,20,2/3/22,Insurance,New York,The Real Deal,Private,
Flexport,640,20,1/11/23,Real Estate ,California,CNBC,Private,
Redesign Health,67,20,10/10/22,Health Care,New York,Fast Company,Private,
Astronomer,76,20,1/4/23,Data Science,Ohio,Astronomer,Private,
Calm,90,20,8/11/22,Health Care,California,Wall Street Journal,Private,
Greenlight,104,21,1/12/23,Finance,Georgia,TechCrunch,Private,
Flipboard,24,21,10/16/22,Entertainment,California,Axios,Private,
Advata,32,21,10/28/22,Health Care,Washington ,GeekWire,Private,
Superhuman,23,22,6/3/22,Software,California,CEO Rahul Vohra,Private,
Exodus,59,22,11/4/22,Finance,Nebraska,Exodus CEO,Private,
Tonkean,23,23,6/15/22,Software,California,The Marker,Private,
Lokalise,76,23,11/16/22,Software,Delaware,Lokalise founders,Private,
Loom,57,24,10/20/22,Software,California,SFGate,Private,
Hyperscience,100,25,3/3/22,AI,New York,The Information,Private,
Celsius,150,25,7/3/22,Finance,New Jersey,CTech,Private,
Baton,16,25,6/29/22,Transportation,California,Freight Waves,Private,
Policygenius,170,25,6/2/22,Insurance,New York,TechCrunch,Private,
IRL,25,25,6/2/22,Entertainment,California,TechCrunch,Private,
Vise,25,25,5/4/22,Finance,New York,CityWire,Private,
Section4,32,25,5/12/22,Education,New York,TechCrunch,Private,
Capitolis,37,25,11/17/22,Finance,New York,Calcalistech,Private,
On Deck,72,25,5/5/22,Real Estate ,California,TechCrunch,Private,
Outschool,74,25,12/10/22,Education,California,TechCrunch,Private,"Outschool laid off 31 people, or 18% of the company, back in July. In December it laid off another 43 people, which amounted to 25% of the staff at the time."
OneTrust,950,25,6/9/22,Software,Georgia,OneTrust,Private,
